Zlecenie;RelatedPO;R Order No;Start Date;Time;Status;POStatus;Center;Target Qty.;UOM;Product;Container;Quant;Location;LotNo;Expire
Komerc;103407858;000106764;25.02.2026 03:05:31;0:01;New;Started;SH40-R;1820.3;TH;33.B34P;6000264606160051P2-550910533.B34PB;264.6;BrandC_SH40_L;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000058801370054P2-550910533.B34PB;264.6;P2_D_013;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160055P2-550910533.B34PB;264.6;P2_F_014;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160057P2-550910533.B34PB;264.6;P2_F_005;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160058P2-550910533.B34PB;264.6;P2_D_016;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000191104450060P2-550910533.B34PB;264.6;P2_F_014;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160061P2-550910533.B34PB;264.6;P2_E_040;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160065P2-550910533.B34PB;264.6;P2_F_012;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160068P2-550910533.B34PB;264.6;P2_F_012;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160069P2-550910533.B34PB;264.6;P2_F_004;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160070P2-550910533.B34PB;264.6;P2_F_013;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160071P2-550910533.B34PB;264.6;P2_D_013;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000259706040073P2-550910533.B34PB;264.6;P2_E_013;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160074P2-550910533.B34PB;264.6;P2_E_021;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160077P2-550910533.B34PB;264.6;P2_F_007;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160078P2-550910533.B34PB;264.6;P2_F_007;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160079P2-550910533.B34PB;264.6;P2_F_013;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160080P2-550910533.B34PB;264.6;P2_E_013;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160081P2-550910533.B34PB;264.6;P2_E_012;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160083P2-550910533.B34PB;264.6;P2_F_025;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160084P2-550910533.B34PB;264.6;P2_E_042;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160085P2-550910533.B34PB;264.6;P2_F_005;P2-5509105;04.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160026P2-552482933.B34PB;264.6;P2_F_051;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160027P2-552482933.B34PB;264.6;P2_F_051;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160033P2-552482933.B34PB;264.6;P2_F_043;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000186204330035P2-552482933.B34PB;264.6;P2_F_046;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160036P2-552482933.B34PB;264.6;P2_F_046;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160037P2-552482933.B34PB;264.6;P2_E_032;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160038P2-552482933.B34PB;264.6;P2_D_044;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160039P2-552482933.B34PB;264.6;P2_D_020;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000058801370040P2-552482933.B34PB;264.6;P2_D_004;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000254805930041P2-552482933.B34PB;264.6;P2_E_030;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160042P2-552482933.B34PB;264.6;P2_E_030;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160043P2-552482933.B34PB;264.6;P2_D_020;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160044P2-552482933.B34PB;264.6;P2_D_043;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160045P2-552482933.B34PB;264.6;P2_A_198;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160046P2-552482933.B34PB;264.6;P2_D_026;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160047P2-552482933.B34PB;264.6;P2_D_026;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160048P2-552482933.B34PB;264.6;P2_D_036;P2-5524829;16.06.2026
;;000106764;;0:01;;;;;;33.B34P;6000264606160049P2-552482933.B34PB;264.6;P2_D_043;P2-5524829;16.06.2026
